Transaction_Date;Fiscal_Year;Customer_ID;Customer_Name;Industry;Industry_Segment;Product;Transaction_Value
09/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;16
09/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;32
07/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;32
07/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;135
07/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;165
07/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;223
05/01/2020;FY2020;789;Customer S0789;Material;Mining & Metals;Product A008;78
05/01/2020;FY2020;789;Customer S0789;Material;Mining & Metals;Product A008;78
08/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product A008;139
02/01/2023;FY2022;789;Customer S0789;Material;Mining & Metals;Product A008;145
04/01/2021;FY2021;789;Customer S0789;Material;Mining & Metals;Product F006;238
09/01/2020;FY2020;789;Customer S0789;Material;Mining & Metals;Product F006;238
12/01/2019;FY2019;789;Customer S0789;Material;Mining & Metals;Product F006;242
08/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product T005;248
11/01/2022;FY2022;789;Customer S0789;Material;Mining & Metals;Product F006;251
08/01/2018;FY2018;604;Customer P0604;Energy;Downstream;Product T005;16
08/01/2021;FY2021;604;Customer P0604;Energy;Downstream;Product T005;239
05/01/2022;FY2022;2;Customer A0002;Energy;Downstream;Product F006;166
05/01/2019;FY2019;559;Customer P0559;Energy;Conventional Power;Product A008;18
11/01/2018;FY2018;559;Customer P0559;Energy;Conventional Power;Product A008;25
12/01/2020;FY2020;559;Customer P0559;Energy;Conventional Power;Product A008;26
05/01/2019;FY2019;559;Customer P0559;Energy;Conventional Power;Product A008;54
03/01/2020;FY2019;559;Customer P0559;Energy;Conventional Power;Product A008;73
01/01/2019;FY2018;559;Customer P0559;Energy;Conventional Power;Product A008;144
01/01/2019;FY2018;559;Customer P0559;Energy;Conventional Power;Product A008;144
07/01/2020;FY2020;559;Customer P0559;Energy;Conventional Power;Product A008;147
11/01/2019;FY2019;559;Customer P0559;Energy;Conventional Power;Product A008;191
01/01/2019;FY2018;559;Customer P0559;Energy;Conventional Power;Product A008;202
12/01/2019;FY2019;559;Customer P0559;Energy;Conventional Power;Product A008;204
07/01/2020;FY2020;559;Customer P0559;Energy;Conventional Power;Product A008;206
12/01/2019;FY2019;559;Customer P0559;Energy;Conventional Power;Product A008;219
05/01/2018;FY2018;635;Customer P0635;Energy;Downstream;Product T005;23
10/01/2018;FY2018;635;Customer P0635;Energy;Downstream;Product T005;27
05/01/2018;FY2018;635;Customer P0635;Energy;Downstream;Product T005;46
10/01/2018;FY2018;635;Customer P0635;Energy;Downstream;Product T005;55
02/01/2019;FY2018;57;Customer A0057;Material;Chemical;Product I004;25
10/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;29
10/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;29
10/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;33
05/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;35
05/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;36
09/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;36
07/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;36
02/01/2021;FY2020;57;Customer A0057;Material;Chemical;Product A008;71
09/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;75
09/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;75
08/01/2022;FY2022;57;Customer A0057;Material;Chemical;Product A008;78
05/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;83
09/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;84
07/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;84
02/01/2019;FY2018;57;Customer A0057;Material;Chemical;Product I004;86
04/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;94
01/01/2023;FY2022;57;Customer A0057;Material;Chemical;Product A008;107
05/01/2022;FY2022;57;Customer A0057;Material;Chemical;Product A008;132
01/01/2022;FY2021;57;Customer A0057;Material;Chemical;Product A008;133
06/01/2022;FY2022;57;Customer A0057;Material;Chemical;Product T005;135
09/01/2021;FY2021;57;Customer A0057;Material;Chemical;Product A008;141
05/01/2021;FY2021;57;Customer A0057;Material;Chemical;Product A008;141
09/01/2021;FY2021;57;Customer A0057;Material;Chemical;Product A008;142
10/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;146
10/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;146
05/01/2018;FY2018;57;Customer A0057;Material;Chemical;Product F006;148
04/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;153
11/01/2018;FY2018;57;Customer A0057;Material;Chemical;Product F006;158
05/01/2022;FY2022;57;Customer A0057;Material;Chemical;Product A008;159
05/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;165
06/01/2022;FY2022;57;Customer A0057;Material;Chemical;Product T005;165
09/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;166
07/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product A008;166
02/01/2021;FY2020;57;Customer A0057;Material;Chemical;Product A008;168
02/01/2023;FY2022;57;Customer A0057;Material;Chemical;Product T005;170
01/01/2023;FY2022;57;Customer A0057;Material;Chemical;Product A008;174
11/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;183
10/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product A008;204
03/01/2021;FY2020;57;Customer A0057;Material;Chemical;Product T005;228
05/01/2020;FY2020;57;Customer A0057;Material;Chemical;Product T005;228
04/01/2018;FY2018;57;Customer A0057;Material;Chemical;Product A008;235
11/01/2019;FY2019;57;Customer A0057;Material;Chemical;Product F006;236
